Cấp quản lý,Chi tiết,Ca,Time,Volume,%Gán,%LTC,%Đóng kiện,%LC,Leadtime,Sản Lượng Lấy Thành Công,Sản Lượng Gán,Sản Lượng Chưa Gán,% Chưa Gán,Hàng Mới Về Trong Ngày,Tỉnh,Vùng,AM
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-27 - Thứ 5,39,100.00%,92.31%,87.18%,0.9231,7.56,36,39,0,0.00%,39,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-18 - Thứ 3,46,100.00%,89.13%,89.13%,0.8913,7.93,41,46,0,0.00%,46,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-19 - Thứ 4,49,97.96%,69.39%,65.31%,0.6939,5.69,34,48,1,2.04%,49,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-23 - Chủ Nhật,49,100.00%,69.39%,59.18%,0.6939,7.14,34,49,0,0.00%,49,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-25 - Thứ 3,54,100.00%,100.00%,88.89%,1,7.58,54,54,0,0.00%,54,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Mới Ca 1,2026-08-24 - Thứ 2,56,100.00%,91.07%,89.29%,0.9107,4.94,51,56,0,0.00%,56,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-17 - Thứ 2,2,100.00%,50.00%,50.00%,0.5,21,1,2,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-27 - Thứ 5,2,100.00%,100.00%,100.00%,1,35,2,2,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-15 - Thứ 7,3,100.00%,100.00%,100.00%,0.6667,32.33,3,3,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-16 - Chủ Nhật,3,100.00%,66.67%,66.67%,0.6667,34,2,3,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-28 - Thứ 6,3,100.00%,0.00%,0.00%,0,0,0,3,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-08 - Thứ 7,4,100.00%,100.00%,75.00%,1,28.67,4,4,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-25 - Thứ 3,5,100.00%,100.00%,100.00%,1,25,5,5,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-04 - Thứ 3,5,100.00%,100.00%,100.00%,0.8,33.2,5,5,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-23 - Chủ Nhật,5,100.00%,20.00%,20.00%,0.2,32,1,5,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-06 - Thứ 5,5,100.00%,80.00%,80.00%,0.8,21.75,4,5,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-05 - Thứ 4,6,100.00%,100.00%,100.00%,1,31.67,6,6,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-11 - Thứ 3,6,100.00%,83.33%,83.33%,0.8333,18.6,5,6,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-13 - Thứ 5,6,100.00%,100.00%,100.00%,1,39.33,6,6,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-12 - Thứ 4,7,100.00%,85.71%,85.71%,0.8571,19.5,6,7,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-10 - Thứ 2,7,100.00%,100.00%,100.00%,1,20.29,7,7,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-29 - Thứ 7,8,100.00%,100.00%,87.50%,1,42,8,8,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-03 - Thứ 2,9,100.00%,88.89%,88.89%,0.8889,31.25,8,9,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-07 - Thứ 6,9,100.00%,100.00%,100.00%,1,31.89,9,9,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-02 - Chủ Nhật,11,100.00%,90.91%,90.91%,0.9091,22.3,10,11,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-22 - Thứ 7,14,100.00%,92.86%,85.71%,0.9286,31.25,13,14,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-20 - Thứ 5,16,100.00%,68.75%,62.50%,0.6875,34.1,11,16,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-21 - Thứ 6,18,100.00%,83.33%,83.33%,0.8333,35.53,15,18,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-24 - Thứ 2,19,100.00%,100.00%,100.00%,1,30.21,19,19,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-19 - Thứ 4,20,100.00%,85.00%,85.00%,0.85,49.29,17,20,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-18 - Thứ 3,31,100.00%,48.39%,48.39%,0.4839,33,15,31,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Bắc Bình,Hàng Tồn,2026-08-09 - Chủ Nhật,34,100.00%,100.00%,100.00%,1,22,34,34,0,0.00%,0,Bình Thuận,NTB,AM Khánh
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-22 - Thứ 7,176,100.00%,98.30%,92.61%,0.9545,5.48,173,176,0,0.00%,176,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-02 - Chủ Nhật,197,100.00%,96.45%,95.94%,0.9594,5.45,190,197,0,0.00%,197,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-24 - Thứ 2,147,100.00%,96.60%,93.88%,0.9524,5.52,142,147,0,0.00%,147,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-20 - Thứ 5,150,100.00%,97.33%,94.67%,0.9667,6.19,146,150,0,0.00%,150,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-19 - Thứ 4,212,100.00%,98.11%,97.17%,0.9811,5,208,212,0,0.00%,212,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-09 - Chủ Nhật,127,100.00%,86.61%,85.04%,0.8583,6.65,110,127,0,0.00%,127,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-12 - Thứ 4,137,100.00%,94.16%,94.16%,0.927,5.21,129,137,0,0.00%,137,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-17 - Thứ 2,110,100.00%,94.55%,94.55%,0.9455,7.73,104,110,0,0.00%,110,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-05 - Thứ 4,171,100.00%,88.30%,87.72%,0.8772,6.52,151,171,0,0.00%,171,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-29 - Thứ 7,181,100.00%,96.13%,91.71%,0.9282,5.66,174,181,0,0.00%,181,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-27 - Thứ 5,162,100.00%,98.15%,96.91%,0.9815,6.14,159,162,0,0.00%,162,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-03 - Thứ 2,168,100.00%,95.24%,93.45%,0.9405,8.99,160,168,0,0.00%,168,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-07 - Thứ 6,151,100.00%,96.69%,91.39%,0.9603,7.6,146,151,0,0.00%,151,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-10 - Thứ 2,116,100.00%,96.55%,95.69%,0.9569,6.62,112,116,0,0.00%,116,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-15 - Thứ 7,106,100.00%,96.23%,94.34%,0.9623,5.35,102,106,0,0.00%,106,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-11 - Thứ 3,191,100.00%,96.86%,94.76%,0.9581,7.05,185,191,0,0.00%,191,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-23 - Chủ Nhật,148,100.00%,95.95%,91.22%,0.9189,4.52,142,148,0,0.00%,148,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-13 - Thứ 5,141,100.00%,87.23%,83.69%,0.8511,8.15,123,141,0,0.00%,141,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-25 - Thứ 3,163,100.00%,96.93%,92.02%,0.9632,6.3,158,163,0,0.00%,163,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-21 - Thứ 6,174,100.00%,97.13%,93.68%,0.9655,5.01,169,174,0,0.00%,174,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-08 - Thứ 7,199,99.50%,89.45%,86.93%,0.8894,6.68,178,198,1,0.50%,199,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-16 - Chủ Nhật,96,100.00%,91.67%,90.63%,0.9167,4.32,88,96,0,0.00%,96,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-28 - Thứ 6,168,100.00%,98.21%,97.02%,0.9583,6.23,165,168,0,0.00%,168,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-06 - Thứ 5,177,100.00%,97.18%,92.66%,0.9548,6.5,172,177,0,0.00%,177,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-14 - Thứ 6,160,100.00%,96.88%,88.75%,0.9625,5.97,155,160,0,0.00%,160,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-18 - Thứ 3,153,99.35%,96.08%,93.46%,0.9477,5.04,147,152,1,0.65%,153,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-04 - Thứ 3,182,100.00%,94.51%,93.96%,0.9341,6.26,172,182,0,0.00%,182,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Mới Ca 1,2026-08-26 - Thứ 4,213,100.00%,96.24%,95.31%,0.939,4.25,205,213,0,0.00%,213,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-11 - Thứ 3,7,100.00%,85.71%,85.71%,0.8571,32,6,7,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-12 - Thứ 4,8,100.00%,62.50%,50.00%,0.5,34.25,5,8,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-15 - Thứ 7,8,100.00%,50.00%,50.00%,0.5,29.25,4,8,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-16 - Chủ Nhật,8,100.00%,37.50%,37.50%,0.375,37.67,3,8,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-22 - Thứ 7,9,100.00%,44.44%,44.44%,0.3333,30.75,4,9,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-21 - Thứ 6,9,100.00%,55.56%,55.56%,0.5556,31.6,5,9,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-08 - Thứ 7,9,100.00%,88.89%,88.89%,0.6667,25.88,8,9,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-20 - Thứ 5,10,100.00%,60.00%,50.00%,0.6,38,6,10,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-19 - Thứ 4,10,100.00%,50.00%,50.00%,0.5,35,5,10,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-29 - Thứ 7,10,100.00%,70.00%,70.00%,0.6,23.86,7,10,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-25 - Thứ 3,10,100.00%,70.00%,50.00%,0.5,40.8,7,10,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-05 - Thứ 4,11,100.00%,90.91%,90.91%,0.9091,30.9,10,11,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-18 - Thứ 3,11,100.00%,72.73%,72.73%,0.7273,42.13,8,11,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-26 - Thứ 4,11,100.00%,72.73%,72.73%,0.6364,34.75,8,11,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-03 - Thứ 2,12,100.00%,66.67%,66.67%,0.6667,36.25,8,12,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-07 - Thứ 6,12,100.00%,83.33%,83.33%,0.6667,30.3,10,12,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-28 - Thứ 6,12,100.00%,75.00%,41.67%,0.5833,19.2,9,12,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-04 - Thứ 3,12,100.00%,91.67%,91.67%,0.9167,33.82,11,12,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-17 - Thứ 2,13,100.00%,61.54%,61.54%,0.6154,33.25,8,13,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-02 - Chủ Nhật,14,100.00%,78.57%,71.43%,0.7143,29.9,11,14,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-23 - Chủ Nhật,14,100.00%,64.29%,64.29%,0.6429,23.67,9,14,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-13 - Thứ 5,14,100.00%,85.71%,71.43%,0.7143,29.4,12,14,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-27 - Thứ 5,16,100.00%,75.00%,75.00%,0.625,22.83,12,16,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-24 - Thứ 2,18,100.00%,66.67%,61.11%,0.6111,23.18,12,18,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-10 - Thứ 2,20,100.00%,85.00%,85.00%,0.8,30.53,17,20,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-06 - Thứ 5,23,100.00%,95.65%,82.61%,0.8261,31.84,22,23,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-14 - Thứ 6,24,100.00%,91.67%,91.67%,0.9167,30.09,22,24,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Liêm,Hàng Tồn,2026-08-09 - Chủ Nhật,25,100.00%,92.00%,92.00%,0.84,19.22,23,25,0,0.00%,0,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-08-24 - Thứ 2,72,100.00%,100.00%,95.83%,1,10.7,72,72,0,0.00%,72,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-08-20 - Thứ 5,53,100.00%,96.23%,88.68%,0.9057,10.4,51,53,0,0.00%,53,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-08-09 - Chủ Nhật,52,100.00%,96.15%,88.46%,0.9038,7.54,50,52,0,0.00%,52,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-08-12 - Thứ 4,53,98.11%,90.57%,81.13%,0.7925,9.4,48,52,1,1.89%,53,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-08-17 - Thứ 2,66,100.00%,100.00%,74.24%,0.7727,8.18,66,66,0,0.00%,66,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-08-05 - Thứ 4,77,100.00%,98.70%,81.82%,0.8182,7.06,76,77,0,0.00%,77,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-08-29 - Thứ 7,60,98.33%,91.67%,80.00%,0.8167,9.98,55,59,1,1.67%,60,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-08-27 - Thứ 5,50,100.00%,92.00%,64.00%,0.64,8.28,46,50,0,0.00%,50,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-08-03 - Thứ 2,65,100.00%,100.00%,86.15%,0.8769,7.5,65,65,0,0.00%,65,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-08-07 - Thứ 6,63,100.00%,96.83%,79.37%,0.8254,7.84,61,63,0,0.00%,63,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-08-10 - Thứ 2,73,100.00%,93.15%,90.41%,0.9178,9.67,68,73,0,0.00%,73,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-08-15 - Thứ 7,42,97.62%,95.24%,90.48%,0.881,8.97,40,41,1,2.38%,42,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-08-11 - Thứ 3,64,100.00%,98.44%,79.69%,0.7969,8.82,63,64,0,0.00%,64,Bình Thuận,NTB,AM Nhựt
NTB - Bình Thuận,(BTH) Hàm Thuận,Hàng Mới Ca 1,2026-08-13 - Thứ 5,42,100.00%,95.24%,90.48%,0.9048,7.97,40,42,0,0.00%,42,Bình Thuận,NTB,AM Nhựt
